Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location Where Sexual Violence Was Committed,Reported Perpetrator,Reported Perpetrator Name,Single And Group Perpetrators,Weapon Carried/Used,Survivor or Victim,Survivor Or Victim Sex,Adult or Minor ,Type of SV,SV Context,Classification,Number of Reported Victims,Reported Deaths Following the Sexual Violence,SIND Event ID
2025-03-18,,Nigeria,NGA,Bayelsa State,4.9,6.2,(2) 25 km Precision ,Livelihood Activity,Other,Fulani herdsmen,Group Perpetrator,No Information on the Weapon Used,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV AssaultGang SV Assault,1,None,99162
2025-03-18,,Nigeria,NGA,Delta State,5.5,5.7,"(3) District, Communicipality or Commune ",No Information,NSA,Unidentified Armed Actor,Group Perpetrator,Knife,Civilian,Female,"Minor, ",Rape,CRSV,Gang SV AssaultGang SV Assault,1,1,99161
2025-02-17,,Nigeria,NGA,Enugu State,6.6,7.7,(2) 25 km Precision ,No Information,Other,Fulani herdsmen,Group Perpetrator,"Stones, Sticks and Gravel",Civilian,Female,"Adult, ",Rape,CRSV,Gang SV AssaultGang SV Assault,1,None,99163
2024-12-08,,Nigeria,NGA,Delta State,5.5,6,(2) 25 km Precision ,No Information,No Information,Unidentified Armed Actor,Single Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,Other,Single Rape/SV Assault ,1,None,87796
2024-10-10,,Nigeria,NGA,Edo State,6.6,5.9,"(4) Province, State, Governorate ",Police Station,Police,Nigeria Police Force,Single Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,SV by security personnel,Single Rape/SV Assault ,1,None,85810
2024-08-27,,Nigeria,NGA,Borno State,11.2,13.8,(5) Linear Feature e.g. Along Road/River ,"Street, Road or Field",NSA,Boko Haram,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV AssaultGang SV Assault,1,1,83206
2024-07-15,,Nigeria,NGA,Borno State,11.2,13.7,"(3) District, Communicipality or Commune ",Livelihood Activity,NSA,Boko Haram,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,11,None,66730
2024-07-12,,Nigeria,NGA,Nasarawa State,8.1,8.7,"(3) District, Communicipality or Commune ",Livelihood Activity,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV AssaultGang SV Assault,1,1,66760
2024-06-29,,Nigeria,NGA,Lagos State,6.5,3.4,"(3) District, Communicipality or Commune ",Police Station,Police,Nigeria Police Force,Single Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,SV by security personnel,Single Rape/SV Assault ,1,None,79440
2024-06-03,,Nigeria,NGA,Enugu State,6.6,7.1,"(3) District, Communicipality or Commune ",Livelihood Activity,Other,Fulani herdsmen,Group Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,CRSV,Gang SV AssaultGang SV Assault,1,None,61129
2024-05-12,,Nigeria,NGA,Cross River State,5.1,8.3,"(3) District, Communicipality or Commune ",No Information,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,2,None,54649
2024-05-09,,Nigeria,NGA,Oyo State,7.8,3.9,(2) 25 km Precision ,School,Other,Private security,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,SV by security personnel,Gang SV AssaultGang SV Assault,1,None,54650
2024-03-30,,Nigeria,NGA,Ogun State,6.8,3.9,"(3) District, Communicipality or Commune ","Street, Road or Field",NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Unclear,"Unspecified, ",StrippedNaked/TornClothes,CRSV,Intimation,2,None,46808
2024-03-05,,Nigeria,NGA,Kaduna State,9.8,7.9,"(3) District, Communicipality or Commune ",No Information,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Minor, ",SexualAssault,CRSV,Gang SV AssaultGang SV Assault,1,None,46806
2024-02-17,,Nigeria,NGA,Imo State,5.4,6.9,(5) Linear Feature e.g. Along Road/River ,"Street, Road or Field",NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",StrippedNaked/TornClothes,CRSV,Intimation,2,None,45190
2024-02-16,,Nigeria,NGA,Delta State,6.1,6.5,(2) 25 km Precision ,Victims Home,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV AssaultGang SV Assault,1,1,45189
2024-02-15,,Nigeria,NGA,Delta State,6.1,6.5,(2) 25 km Precision ,Victims Home,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,2,None,45187
2024-02-08,,Nigeria,NGA,Ogun State,6.9,3.9,(2) 25 km Precision ,Police Station,Police,Nigeria Police Force,Single Perpetrator,Firearms,Civilian,Female,"Adult, ",SexualHarassment,SV by security personnel,Not Applicable,1,None,45184
2024-02-05,,Nigeria,NGA,Ogun State,6.9,3.9,(2) 25 km Precision ,"Street, Road or Field",Police,Nigeria Police Force,Single Perpetrator,Firearms,Civilian,Female,"Adult, ",SexualHarassment,SV by security personnel,Not Applicable,1,None,45183
2024-02-03,,Nigeria,NGA,Enugu State,6.3,7.6,"(3) District, Communicipality or Commune ",No Information,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Unclear,"Unspecified, ",StrippedNaked/TornClothes,CRSV,Intimation,2,None,45180
2023-12-27,,Nigeria,NGA,Rivers State,4.7,7,(2) 25 km Precision ,In Captivity,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,CRSV,Gang SV AssaultGang SV Assault,1,None,43441
